city_geocode_G,lon,lat
AuburnHills,-83.2341028,42.6875323
Austin,-97.7430608,30.267153
NewYork,-74.0059413,40.7127837
MountainView,-122.0838511,37.3860517
Alexandria,29.9187387,31.2000924
Livermore,-121.7680088,37.6818745
LosAngeles,-118.2436849,34.0522342
Seattle,-122.3320708,47.6062095
FosterCity,-122.2710788,37.5585465
Cupertino,-122.0321823,37.3229978
Eugene,-123.0867536,44.0520691
Hillsboro,-122.989827,45.5228939
SanDiego,-117.1610838,32.715738
Berkeley,-122.2585399,37.8718992
MenloPark,-122.1817252,37.4529598
MenloPark,-122.1817252,37.4529598
LosAngeles,-118.2436849,34.0522342
Bellevue,-122.2015159,47.6101497
Austin,-97.7430608,30.267153
Rockville,-77.1527578,39.0839973
Seattle,-122.3320708,47.6062095
Dallas,-96.7969879,32.7766642
Cambridge,0.1149085,52.2042666
Cambridge,0.1149085,52.2042666
Reston,-77.3570028,38.9586307
Irvine,-117.8265049,33.6845673
Washington,-120.7401385,47.7510741
SanMateo,-122.3255254,37.5629917
PlymouthMeeting,-75.2743467,40.1023319
Huntsville,-86.5861037,34.7303688
SanFrancisco,-122.4194155,37.7749295
Plano,-96.6988856,33.0198431
Arlington,-97.1080656,32.735687
Denver,-104.990251,39.7392358
Chicago,-87.6297982,41.8781136
SanFrancisco,-122.4194155,37.7749295
Jericho,35.4617583,31.8611058
SanJose,-121.8863286,37.3382082
Seattle,-122.3320708,47.6062095
SanDiego,-117.1610838,32.715738
Tulsa,-95.992775,36.1539816
SanRamon,-121.9780153,37.7799273
Austin,-97.7430608,30.267153
Pittsburgh,-79.9958864,40.4406248
Seattle,-122.3320708,47.6062095
SouthSanFrancisco,-122.4077498,37.654656
SanFrancisco,-122.4194155,37.7749295
Francisco,-122.4115531,37.8045973
Seattle,-122.3320708,47.6062095
Springfield,-93.2922989,37.2089572
SanFrancisco,-122.4194155,37.7749295
NewYork,-74.0059413,40.7127837
RedwoodCity,-122.2363548,37.4852152
HuntingtonBeach,-117.9988026,33.6594835
Philadelphia,-75.1652215,39.9525839
Philadelphia,-75.1652215,39.9525839
Woburn,-71.1522765,42.4792618
Norwalk,-118.081733,33.9022367
Charlotte,-80.8431267,35.2270869
Emeryville,-122.2852473,37.831316
NewYork,-74.0059413,40.7127837
Champaign,-88.2433829,40.1164204
Scottsdale,-111.9260519,33.4941704
Topeka,-95.6890185,39.0558235
Detroit,-83.0457538,42.331427
UnitedStates,-95.712891,37.09024
Kerry,-9.5259857,52.1678937
Boston,-71.0588801,42.3600825
Moline,-90.5151342,41.5067003
ParkCity,-111.4979729,40.6460622
Pittsburgh,-79.9958864,40.4406248
Richardson,-96.7298519,32.9483335
UnitedStates,-95.712891,37.09024
NewYork,-74.0059413,40.7127837
NewYork,-74.0059413,40.7127837
Austin,-97.7430608,30.267153
Seattle,-122.3320708,47.6062095
SantaMonica,-118.4911912,34.0194543
NewYork,-74.0059413,40.7127837
SanFrancisco,-122.4194155,37.7749295
NewYork,-74.0059413,40.7127837
York,-1.0872979,53.9599651
Austin,-97.7430608,30.267153
NewYork,-74.0059413,40.7127837
Ocala,-82.1400923,29.1871986
NewYork,-74.0059413,40.7127837
SanFrancisco,-122.4194155,37.7749295
SanFrancisco,-122.4194155,37.7749295
Chicago,-87.6297982,41.8781136
Atlanta,-84.3879824,33.7489954
FallsChurch,-77.1710914,38.882334
Moline,-90.5151342,41.5067003
Houston,-95.3698028,29.7604267
Irvine,-117.8265049,33.6845673
Greenwich,-0.0076589,51.4825766
McLean,-77.1772604,38.9338676
Chicago,-87.6297982,41.8781136
Cincinnati,-84.5120196,39.1031182
GarnetValley,-75.5043761,39.8622582
SanFrancisco,-122.4194155,37.7749295
Francisco,-122.4115531,37.8045973
NewYork,-74.0059413,40.7127837
SanBruno,-122.4110835,37.6304904
SanFrancisco,-122.4194155,37.7749295
SaintLouis,-90.1994042,38.6270025
SanFrancisco,-122.4194155,37.7749295
Denver,-104.990251,39.7392358
Hudson,-81.440667,41.240056
SanFrancisco,-122.4194155,37.7749295
Washington,-120.7401385,47.7510741
MountainView,-122.0838511,37.3860517
PaloAlto,-122.1430195,37.4418834
Cincinnati,-84.5120196,39.1031182
GlenAllen,-77.5063739,37.665978
SanAntonio,-98.4936282,29.4241219
Springfield,-93.2922989,37.2089572
Cleveland,-81.6943605,41.49932
SanFrancisco,-122.4194155,37.7749295
SanCarlos,-122.2605222,37.5071591
Charlottesville,-78.4766781,38.0293059
MountainView,-122.0838511,37.3860517
Atlanta,-84.3879824,33.7489954
Atlanta,-84.3879824,33.7489954
NewYork,-74.0059413,40.7127837
Orlando,-81.3792365,28.5383355
Boston,-71.0588801,42.3600825
Washington,-120.7401385,47.7510741
Boston,-71.0588801,42.3600825
Seattle,-122.3320708,47.6062095
UnitedStates,-95.712891,37.09024
Brooklyn,-73.9441579,40.6781784
Boulder,-105.2705456,40.0149856
NewYork,-74.0059413,40.7127837
Alexandria,29.9187387,31.2000924
WestLafayette,-86.9080655,40.4258686
SantaMonica,-118.4911912,34.0194543
Lowell,-122.4833234,37.7306091
Lehi,-111.8507662,40.3916172
SanDiego,-117.1610838,32.715738
Chicago,-87.6297982,41.8781136
Chicago,-87.6297982,41.8781136
Duluth,-92.1004852,46.7866719
SanFrancisco,-122.4194155,37.7749295
SanFrancisco,-122.4194155,37.7749295
BaskingRidge,-74.5493284,40.7066174
Washington,-120.7401385,47.7510741
Seattle,-122.3320708,47.6062095
York,-1.0872979,53.9599651
Chicago,-87.6297982,41.8781136
SanFrancisco,-122.4194155,37.7749295
NewYork,-74.0059413,40.7127837
Chicago,-87.6297982,41.8781136
Seattle,-122.3320708,47.6062095
Waterloo,-92.3425775,42.492786
SantaMonica,-118.4911912,34.0194543
Framingham,-71.4161565,42.279286
Aurora,-88.3200715,41.7605849
Bellevue,-122.2015159,47.6101497
WoodlandHills,-118.6089752,34.165357
Dallas,-96.7969879,32.7766642
McLean,-77.1772604,38.9338676
Shire,-71.252345,42.427103
RedwoodCity,-122.2363548,37.4852152
LakeForest,-87.840625,42.2586342
Evansville,-87.5710898,37.9715592
Greenbelt,-76.8755282,39.0045544
MapleGrove,-93.4557877,45.0724642
Sunnyvale,-122.0363496,37.36883
LongIslandCity,-73.9485424,40.744679
Alexandria,29.9187387,31.2000924
Chicago,-87.6297982,41.8781136
SantaClara,-121.9552356,37.3541079
Wilmington,-75.5397878,39.7390721
Woodbury,-74.1059775,41.3645382
Reston,-77.3570028,38.9586307
NewYork,-74.0059413,40.7127837
NewYork,-74.0059413,40.7127837
SanFrancisco,-122.4194155,37.7749295
NewYork,-74.0059413,40.7127837
NewYork,-74.0059413,40.7127837
SantaMonica,-118.4911912,34.0194543
Greenwich,-0.0076589,51.4825766
PaloAlto,-122.1430195,37.4418834
Chesterbrook,-75.4590816,40.0756627
Washington,-120.7401385,47.7510741
Seattle,-122.3320708,47.6062095
SantaClara,-121.9552356,37.3541079
McLean,-77.1772604,38.9338676
Moline,-90.5151342,41.5067003
Corona,-117.5664384,33.8752935
SaintLouis,-90.1994042,38.6270025
Hartford,-72.6850932,41.7637111
SanJose,-121.8863286,37.3382082
Jose,8.8583309,9.8965273
NewYork,-74.0059413,40.7127837
Washington,-120.7401385,47.7510741
NewYork,-74.0059413,40.7127837
Plano,-96.6988856,33.0198431
Baltimore,-76.6121893,39.2903848
NewYork,-74.0059413,40.7127837
Evendale,-84.417997,39.2561691
Naperville,-88.1535352,41.7508391
Milwaukee,-87.9064736,43.0389025
Cambridge,0.1149085,52.2042666
Princeton,-74.6514481,40.3439888
Arlington,-97.1080656,32.735687
SanLuisObispo,-120.6596156,35.2827524
SanJose,-121.8863286,37.3382082
Cincinnati,-84.5120196,39.1031182
Atlanta,-84.3879824,33.7489954
FortMeade,-76.729178,39.097893
Cincinnati,-84.5120196,39.1031182
UnitedStates,-95.712891,37.09024
UnitedStates,-95.712891,37.09024
WhiteMarsh,-76.4599043,39.3794196
SanCarlos,-122.2605222,37.5071591
Seattle,-122.3320708,47.6062095
Honolulu,-157.8583333,21.3069444
Germantown,-89.8100858,35.0867577
NewYork,-74.0059413,40.7127837
Raleigh,-78.6381787,35.7795897
McLean,-77.1772604,38.9338676
Bethesda,-77.0947092,38.984652
Boston,-71.0588801,42.3600825
SanFrancisco,-122.4194155,37.7749295
NewYork,-74.0059413,40.7127837
SanFrancisco,-122.4194155,37.7749295
MountainView,-122.0838511,37.3860517
MountainView,-122.0838511,37.3860517
NewYork,-74.0059413,40.7127837
KansasCity,-94.5785667,39.0997265
Puyallup,-122.2928974,47.1853785
UnitedStates,-95.712891,37.09024
SanFrancisco,-122.4194155,37.7749295
Arlington,-97.1080656,32.735687
RedwoodCity,-122.2363548,37.4852152
Atlanta,-84.3879824,33.7489954
McLean,-77.1772604,38.9338676
Morrisville,-78.8255621,35.823483
Minnetonka,-93.4687489,44.9211836
NewYork,-74.0059413,40.7127837
Chicago,-87.6297982,41.8781136
Stanford,-122.169719,37.4274745
Troy,-83.1497751,42.6064095
Madison,-89.4012302,43.0730517
Danbury,-73.4540111,41.394817
Greenwich,-0.0076589,51.4825766
Houston,-95.3698028,29.7604267
Chicago,-87.6297982,41.8781136
Chicago,-87.6297982,41.8781136
Johnston,-78.3842227,35.4403514
SanFrancisco,-122.4194155,37.7749295
SanFrancisco,-122.4194155,37.7749295
Cincinnati,-84.5120196,39.1031182
Tampa,-82.4571776,27.950575
Norwalk,-118.081733,33.9022367
SanMateo,-122.3255254,37.5629917
Austin,-97.7430608,30.267153
York,-1.0872979,53.9599651
Waltham,-71.2356113,42.3764852
RapidCity,-103.2310149,44.0805434
Charleston,-79.9310512,32.7764749
Newark,-74.1744624,40.6895314
Chantilly,-77.4310992,38.8942786
SanFrancisco,-122.4194155,37.7749295
Dearborn,-83.1763145,42.3222599
Alameda,-122.2416355,37.7652065
Charlotte,-80.8431267,35.2270869
Denver,-104.990251,39.7392358
SanFrancisco,-122.4194155,37.7749295
Chicago,-87.6297982,41.8781136
Washington,-120.7401385,47.7510741
Bellevue,-122.2015159,47.6101497
SanDiego,-117.1610838,32.715738
Minneapolis,-93.2650108,44.977753
SantaClara,-121.9552356,37.3541079
Bellevue,-122.2015159,47.6101497
DiamondBar,-117.8103367,34.0286226
Washington,-120.7401385,47.7510741
NewYork,-74.0059413,40.7127837
York,-1.0872979,53.9599651
FortLauderdale,-80.1373174,26.1224386
FortLauderdale,-80.1373174,26.1224386
Nashville,-86.7816016,36.1626638
NewYork,-74.0059413,40.7127837
NewYork,-74.0059413,40.7127837
Sausalito,-122.4852507,37.8590937
Baltimore,-76.6121893,39.2903848
Columbia,-92.3340724,38.9517053
Berkeley,-122.2585399,37.8718992
Seattle,-122.3320708,47.6062095
Seattle,-122.3320708,47.6062095
Boston,-71.0588801,42.3600825
NewYork,-74.0059413,40.7127837
Dallas,-96.7969879,32.7766642
Charlotte,-80.8431267,35.2270869
NewYork,-74.0059413,40.7127837
NewYork,-74.0059413,40.7127837
Washington,-120.7401385,47.7510741
WindsorMill,-76.7595659,39.3326927
Englewood,-87.6416419,41.775305
Cambridge,0.1149085,52.2042666
Irving,-96.9488945,32.8140177
LosAngeles,-118.2436849,34.0522342
Angeles,120.5887029,15.1449853
NewYork,-74.0059413,40.7127837
Providence,-71.4128343,41.8239891
SanFrancisco,-122.4194155,37.7749295
SanFrancisco,-122.4194155,37.7749295
Francisco,-122.4115531,37.8045973
Ontario,-85.323214,51.253775
Seattle,-122.3320708,47.6062095
Orlando,-81.3792365,28.5383355
Redlands,-117.1825381,34.0555693
LinthicumHeights,-76.6527456,39.2051077
NewYork,-74.0059413,40.7127837
LasVegas,-115.1398296,36.1699412
Boston,-71.0588801,42.3600825
NewYork,-74.0059413,40.7127837
Bellevue,-122.2015159,47.6101497
NewYork,-74.0059413,40.7127837
MountainView,-122.0838511,37.3860517
MountainView,-122.0838511,37.3860517
Tampa,-82.4571776,27.950575
NewYork,-74.0059413,40.7127837
Denver,-104.990251,39.7392358
FortMill,-80.9450759,35.0073697
SouthPortland,-70.2408811,43.6414716
SanFrancisco,-122.4194155,37.7749295
FortBelvoir,-77.1542684,38.7188716
Boston,-71.0588801,42.3600825
LinthicumHeights,-76.6527456,39.2051077
SanFrancisco,-122.4194155,37.7749295
SanFrancisco,-122.4194155,37.7749295
SantaBarbara,-119.6981901,34.4208305
Washington,-120.7401385,47.7510741
Irving,-96.9488945,32.8140177
SanFrancisco,-122.4194155,37.7749295
ManhattanBeach,-118.4109089,33.8847361
Reston,-77.3570028,38.9586307
Brentwood,-118.4732464,34.0521011
Chicago,-87.6297982,41.8781136
NewYork,-74.0059413,40.7127837
Baltimore,-76.6121893,39.2903848
Washington,-120.7401385,47.7510741
Atlanta,-84.3879824,33.7489954
Amherst,-72.5170028,42.3709104
SanFrancisco,-122.4194155,37.7749295
Francisco,-122.4115531,37.8045973
NewYork,-74.0059413,40.7127837
FortMeade,-76.729178,39.097893
FortMeade,-76.729178,39.097893
SaintLouis,-90.1994042,38.6270025
NewYork,-74.0059413,40.7127837
Arlington,-97.1080656,32.735687
UnitedStates,-95.712891,37.09024
SanFrancisco,-122.4194155,37.7749295
EastHanover,-74.3647247,40.8200623
NewYork,-74.0059413,40.7127837
Chicago,-87.6297982,41.8781136
NewYork,-74.0059413,40.7127837
Washington,-120.7401385,47.7510741
Chicago,-87.6297982,41.8781136
Estero,-81.8067523,26.438136
FortLee,-77.3381855,37.2489537
Phoenix,-112.0740373,33.4483771
Chicago,-87.6297982,41.8781136
Suitland,-76.9240422,38.8485264
Springfield,-93.2922989,37.2089572
SaintLouis,-90.1994042,38.6270025
NewYork,-74.0059413,40.7127837
Arlington,-97.1080656,32.735687
Rochester,-77.6109219,43.16103
SanMateo,-122.3255254,37.5629917
Milpitas,-121.8995741,37.4323341
SanFrancisco,-122.4194155,37.7749295
Austin,-97.7430608,30.267153
NewYork,-74.0059413,40.7127837
Blacksburg,-80.4139393,37.2295733
Manchester,-2.2426305,53.4807593
SantaClara,-121.9552356,37.3541079
NewYork,-74.0059413,40.7127837
PaloAlto,-122.1430195,37.4418834
Lincoln,-96.6851982,40.8257625
SanFrancisco,-122.4194155,37.7749295
Burlingame,-122.34809,37.5778696
Rochester,-77.6109219,43.16103
Seattle,-122.3320708,47.6062095
Raleigh,-78.6381787,35.7795897
Dallas,-96.7969879,32.7766642
NewYork,-74.0059413,40.7127837
SanDiego,-117.1610838,32.715738
Jose,8.8583309,9.8965273
Bellevue,-122.2015159,47.6101497
RedwoodCity,-122.2363548,37.4852152
Macclesfield,-2.119287,53.258663
RedwoodCity,-122.2363548,37.4852152
Mahwah,-74.1435843,41.0886216
Rochester,-77.6109219,43.16103
Bellevue,-122.2015159,47.6101497
NewYork,-74.0059413,40.7127837
York,-1.0872979,53.9599651
BocaRaton,-80.1289321,26.3683064
Latham,-73.760537,42.7477661
SanJose,-121.8863286,37.3382082
Herndon,-77.3860976,38.9695545
SaltLakeCity,-111.8910474,40.7607793
FallsChurch,-77.1710914,38.882334
SanJose,-121.8863286,37.3382082
SanFrancisco,-122.4194155,37.7749295
Jackson,-90.1848103,32.2987573
MountainView,-122.0838511,37.3860517
Woonsocket,-71.5147839,42.0028761
Tempe,-111.9400054,33.4255104
Springfield,-93.2922989,37.2089572
MountainView,-122.0838511,37.3860517
PaloAlto,-122.1430195,37.4418834
Duluth,-92.1004852,46.7866719
Washington,-120.7401385,47.7510741
NewYork,-74.0059413,40.7127837
Cambridge,0.1149085,52.2042666
Trenton,-74.7429384,40.2170534
NewYork,-74.0059413,40.7127837
KingofPrussia,-75.3835525,40.1012856
NewYork,-74.0059413,40.7127837
Irving,-96.9488945,32.8140177
MountainView,-122.0838511,37.3860517
Bellevue,-122.2015159,47.6101497
NewYork,-74.0059413,40.7127837
Denver,-104.990251,39.7392358
SaltLakeCity,-111.8910474,40.7607793
Houston,-95.3698028,29.7604267
SanFrancisco,-122.4194155,37.7749295
SanFrancisco,-122.4194155,37.7749295
Rochester,-77.6109219,43.16103
Campbell,-78.7394297,35.4083372
Dallas,-96.7969879,32.7766642
NewYork,-74.0059413,40.7127837
NewYork,-74.0059413,40.7127837
Kirkland,-122.2059833,47.6768927
Austin,-97.7430608,30.267153
PaloAlto,-122.1430195,37.4418834
Portland,-122.6764815,45.5230622
JohnsCreek,-84.198579,34.0289259
UnitedStates,-95.712891,37.09024
Pasadena,-118.1445155,34.1477849
Austin,-97.7430608,30.267153
Springfield,-93.2922989,37.2089572
UnitedStates,-95.712891,37.09024
Livermore,-121.7680088,37.6818745
LittleRock,-92.2895948,34.7464809
Germany,10.451526,51.165691
Eugene,-123.0867536,44.0520691
York,-1.0872979,53.9599651
MenloPark,-122.1817252,37.4529598
Tampa,-82.4571776,27.950575
Charlotte,-80.8431267,35.2270869
NewYork,-74.0059413,40.7127837
Pasadena,-118.1445155,34.1477849
UnitedStates,-95.712891,37.09024
Washington,-120.7401385,47.7510741
Tucson,-110.926479,32.2217429
SanFrancisco,-122.4194155,37.7749295
Roma,12.4963655,41.9027835
Pittsburgh,-79.9958864,40.4406248
Wilmington,-75.5397878,39.7390721
NewYork,-74.0059413,40.7127837
NorthCharleston,-79.9748103,32.8546197
NorthCharleston,-79.9748103,32.8546197
NewYork,-74.0059413,40.7127837
Irvine,-117.8265049,33.6845673
SanCarlos,-122.2605222,37.5071591
Cincinnati,-84.5120196,39.1031182
Sunnyvale,-122.0363496,37.36883
NewYork,-74.0059413,40.7127837
Seattle,-122.3320708,47.6062095
Manchester,-2.2426305,53.4807593
LinthicumHeights,-76.6527456,39.2051077
Chicago,-87.6297982,41.8781136
Durham,-78.898619,35.9940329
Houston,-95.3698028,29.7604267
Pittsburgh,-79.9958864,40.4406248
Redmond,-122.121512,47.6739881
Mesa,-111.8314724,33.4151843
ChapelHill,-79.0558445,35.9131996
Chicago,-87.6297982,41.8781136
Andover,-71.1322796,42.6471655
FortWorth,-97.3307658,32.7554883
Philadelphia,-75.1652215,39.9525839
Columbus,-82.9987942,39.9611755
Tampa,-82.4571776,27.950575
Seattle,-122.3320708,47.6062095
UnitedStates,-95.712891,37.09024
Swansea,-3.943646,51.62144
Boise,-116.2146068,43.6187102
SanFrancisco,-122.4194155,37.7749295
NewYork,-74.0059413,40.7127837
SanFrancisco,-122.4194155,37.7749295
Boston,-71.0588801,42.3600825
Minneapolis,-93.2650108,44.977753
UnitedStates,-95.712891,37.09024
Columbus,-82.9987942,39.9611755
Cleveland,-81.6943605,41.49932
Washington,-120.7401385,47.7510741
SanFrancisco,-122.4194155,37.7749295
NewYork,-74.0059413,40.7127837
Pleasanton,-121.8746789,37.6624312
Princeton,-74.6514481,40.3439888
Phoenix,-112.0740373,33.4483771
NewYork,-74.0059413,40.7127837
NewYork,-74.0059413,40.7127837
SanFrancisco,-122.4194155,37.7749295
Itasca,-88.0072909,41.9750287
NewYork,-74.0059413,40.7127837
Seattle,-122.3320708,47.6062095
Corning,-77.0546903,42.1428521
Houston,-95.3698028,29.7604267
Aurora,-88.3200715,41.7605849
Raleigh,-78.6381787,35.7795897
DCRanch,-111.8449346,33.6674496
MountainView,-122.0838511,37.3860517
SanFrancisco,-122.4194155,37.7749295
Englewood,-87.6416419,41.775305
DCRanch,-111.8449346,33.6674496
NewYork,-74.0059413,40.7127837
NewYork,-74.0059413,40.7127837
Austin,-97.7430608,30.267153
SanFrancisco,-122.4194155,37.7749295
NewYork,-74.0059413,40.7127837
Boston,-71.0588801,42.3600825
Tampa,-82.4571776,27.950575
Neenah,-88.462609,44.1858193
NewYork,-74.0059413,40.7127837
SanFrancisco,-122.4194155,37.7749295
NewYork,-74.0059413,40.7127837
Boston,-71.0588801,42.3600825
Providence,-71.4128343,41.8239891
Fayetteville,-78.8783585,35.0526641
SanFrancisco,-122.4194155,37.7749295
LosAngeles,-118.2436849,34.0522342
Herndon,-77.3860976,38.9695545
MountainView,-122.0838511,37.3860517
Washington,-120.7401385,47.7510741
Davis,-121.7405167,38.5449065
Charlotte,-80.8431267,35.2270869
Cambridge,0.1149085,52.2042666
Plano,-96.6988856,33.0198431
Moline,-90.5151342,41.5067003
Jericho,35.4617583,31.8611058
NewYork,-74.0059413,40.7127837
NewYork,-74.0059413,40.7127837
Boston,-71.0588801,42.3600825
NewYork,-74.0059413,40.7127837
SanFrancisco,-122.4194155,37.7749295
UnitedStates,-95.712891,37.09024
Aurora,-88.3200715,41.7605849
WhitehouseStation,-74.7702576,40.6155663
Boston,-71.0588801,42.3600825
Chicago,-87.6297982,41.8781136
Parktown,-78.1416584,36.313204
NewYork,-74.0059413,40.7127837
Franklin,-86.8688899,35.9250637
SaintLouis,-90.1994042,38.6270025
Philadelphia,-75.1652215,39.9525839
Atlanta,-84.3879824,33.7489954
SanFrancisco,-122.4194155,37.7749295
SanFrancisco,-122.4194155,37.7749295
Cambridge,0.1149085,52.2042666
Pittsburgh,-79.9958864,40.4406248
SanFrancisco,-122.4194155,37.7749295
NewYork,-74.0059413,40.7127837
SanFrancisco,-122.4194155,37.7749295
Brisbane,153.0251235,-27.4697707
SanFrancisco,-122.4194155,37.7749295
Bellevue,-122.2015159,47.6101497
SanDiego,-117.1610838,32.715738
Chicago,-87.6297982,41.8781136
Seattle,-122.3320708,47.6062095
Adelphi,-73.6517116,40.719728
Bellevue,-122.2015159,47.6101497
SanFrancisco,-122.4194155,37.7749295
Durham,-78.898619,35.9940329
Pasadena,-118.1445155,34.1477849
SanFrancisco,-122.4194155,37.7749295
ChapelHill,-79.0558445,35.9131996
Norwalk,-118.081733,33.9022367
Bridgewater,-70.9750541,41.9903519
Raleigh,-78.6381787,35.7795897
RollingMeadows,-88.0131275,42.0841936
LongIslandCity,-73.9485424,40.744679
Raleigh,-78.6381787,35.7795897
SanFrancisco,-122.4194155,37.7749295
SanFrancisco,-122.4194155,37.7749295
SanFrancisco,-122.4194155,37.7749295
Francisco,-122.4115531,37.8045973
Boston,-71.0588801,42.3600825
Quincy,-71.0022705,42.2528772
UnitedStates,-95.712891,37.09024
LosAngeles,-118.2436849,34.0522342
Waltham,-71.2356113,42.3764852
SanFrancisco,-122.4194155,37.7749295
Cincinnati,-84.5120196,39.1031182
Remote,-123.8925908,43.0059455
NewYork,-74.0059413,40.7127837
NewYork,-74.0059413,40.7127837
Chicago,-87.6297982,41.8781136
NewYork,-74.0059413,40.7127837
Columbus,-82.9987942,39.9611755
NewYork,-74.0059413,40.7127837
Radnor,-75.3754599,40.043912
SanFrancisco,-122.4194155,37.7749295
Francisco,-122.4115531,37.8045973
Remote,-123.8925908,43.0059455
Carlsbad,-117.3505939,33.1580933
NewYork,-74.0059413,40.7127837
Cambridge,0.1149085,52.2042666